Subject_Name,SHA,LOC_Source,LOC_Tests
dyc87112/SpringBoot-Learning,33dc0e35632f446a62e8df1a3c65ba1205f7276d,3381,1058
eclipse-vertx/vert.x,aaf9383a3cd3e3f7ca935f6a96969332f3939518,106384,52188
elastic/elasticsearch,4dacfa95d2a2e88cec7e9d9d80af5a39542397a8,1183641,440601
elasticjob/elastic-job-lite,b022898ef1b8c984e17efb2a422ee45f6b13e46e,16224,7947
FasterXML/jackson-databind,3b5f1e5d375c76957324a80cdc53bdaa6acb96b4,114059,52857
ffay/lanproxy,945d2f821cfdb048f21a9fac4ba16f7f4baa2d23,2640,17
flyway/flyway,a9c37c25aaa0358c9a4d5168e4a42aa6630a75a7,17650,
fyhertz/libstreaming,e71b49c22fc19f41b60b8fef6a3e140a26b9aa82,6008,
google/auto,1339e4038c23b8d667316ac4f179a8dac35685e4,24474,14283
google/binnavi,921d91ed3c6dbc02e356d8f8b71cb52f150d3a92,308883,91358
google/closure-compiler,01197b23b19e65bae32494d6635d9d5ab148874c,370078,208308
google/error-prone,20bf092117ec70e14dfdd125d49f36c5a3f5bc0c,142163,61601
google/google-java-format,4fa9d4967170109b1f8b238c12bb42ee9d26ba88,14744,5424
google/gson,9d44cbc19a73b45971c4ecb33c8d34d673afa210,25208,14821
google/guava,8dbe749b9e78a0caa4da949048c82dc50eb8da8d,382850,202930
google/guice,ba4314795d7a6fa0c8206fc8b73ea3170df33637,65101,38179
google/jimfs,ced6093fe69a31e37ba8bbf63858b50c7164f4a4,17366,9484
Graylog2/graylog2-server,7ccc1f4ea504742766b7bb01fb07e548d63c67dd,148286,39462
guoguibing/librec,38c3d3325a9dc5e3e71a3c0d60e4db9d4ea8c814,31771,4423
hazelcast/hazelcast,788b9e237ceac8ccc1369fbe7bb8ca590c6917ba,768368,440681
hector-client/hector,a302e68ca8d91b45d332e8c9afd7d98030b54de1,31365,9088
hibernate/hibernate-orm,6f5b1e554386662e02d4ef3b91c23863258ff481,705286,277243
iluwatar/java-design-patterns,7a7e891384740f8bab597b2b6eed4632528956d9,28257,10450
immutables/immutables,e1481c2c993aca0f0b00b309236157cd7bd61854,40936,6497
JakeWharton/ActionBarSherlock,2c71339e756bcc0b1424c4525680549ba3a2dc97,25335,20
JakeWharton/DiskLruCache,3e016356cfc7e5f9644a7a732fe0223e9742e024,1740,960
JakeWharton/NineOldAndroids,d582f0ec8e79013e9fa96c07986160b52e662e63,6436,
JakeWharton/RxRelay,82db28c4126f4cec6d762804c38adb1b95475b3c,2318,1210
JakeWharton/ViewPagerIndicator,8cd549f23f3d20ff920e19a2345c54983f65e26b,3072,89
jenkinsci/jenkins,008c4350849bd323f0b4adde03dbe7b5b58ed1e8,153288,49692
jfeinstein10/SlidingMenu,4254feca3ece9397cd501921ee733f19ea0fdad8,3212,
jfree/jfreechart,520a4be69ba932061ab9b89f328842caf152e1d9,133847,39847
jhalterman/failsafe,e3c37eb0482f6bff5eaaf223d7347be475ddf402,5579,2820
jhy/jsoup,220b77140bce70dcf9c767f8f04758b09097db14,19926,7474
jknack/handlebars.java,3b702a4a8ffeb07e52867fdf1ab69c9c414ae973,21508,8461
JoanZapata/android-pdfview,8f239bb91ab56ff3066739dc44bccf8b1753b0ba,2939,
JodaOrg/joda-time,d1ea2a53929d7d56d4f4560852e5586517a0dd47,86167,55151
joel-costigliola/assertj-core,978d942c51d616cbd47472c7970cab8d07664eac,150291,115456
johncarl81/parceler,f7312d61041ff6dca9f7a7db28eddcaa55d69994,9789,3128
jOOQ/jOOQ,a6b438ac34726834af06767046967c74dd36e1a8,171644,553
junit-team/junit4,78029cd90a5a7be76fc54aa725be94f87f35927e,30775,19950
jwtk/jjwt,57ff5139f5149b4ad443356570f97a68f01dbfd9,5271,
kbastani/spring-cloud-microservice-example,5e8dfa121c0613ebe6e18aa7e26ca1fd0421de21,1100,14
kevin-wayne/algs4,880a5567464fa9312592d2ea815ea9146692d28f,21377,20
kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,4112,2721
knightliao/disconf,2ac5c8275ad8cdc101522ad01a8ba87e53b73b68,17052,920
knowm/XChange,ae0e96efdb3384742674bde1faf8dc977b4db3d7,196632,20106
lets-blade/blade,88e6e5f75ed162d660237d4d4cec09d464347b48,16233,3423
liaohuqiu/android-Ultra-Pull-To-Refresh,46fdc861243a3d90dca1f5d31f3c82559ee9e4fa,5219,
libgdx/libgdx,8c705fcb39ec55dc14b0308379344a2181dd6adc,275811,26658
lihengming/spring-boot-api-project-seed,0980dd90d0fc4205fcdadc939d47aa46bfa93fcd,564,12
linkedin/pinot,b184998736d6cd2ce26f198560f09be614749b6b,252222,62985
looly/hutool,91565d052d2771dd26547e79c619ee8c31497e8f,62901,7879
ltsopensource/light-task-scheduler,64d3aa000ff5022be5e94f511b58f405e5f4c8eb,48577,1442
luontola/retrolambda,1f26f13c98cd57ecc56a5f8afa4c56e7b98bfa18,4887,2053
medcl/elasticsearch-analysis-ik,83fa2ff8b234984bca63397148feffa0bedd439c,2067,
mpusher/mpush,f8d5c97f30b2bde12f1b60d11709ae1b75587a2e,16861,1051
mrniko/netty-socketio,55e7802dfb24a91bd6785f3e600c0290fce5e4f8,6008,396
mybatis/mybatis-3,67a1c4ea5726c605d297398a8ab9a42ab7d4ebf1,55245,22354
mybatis/spring-boot-starter,8f7336ff9e5ebd9aa73bc741d6b8380b406139c5,1644,944
MyCATApache/Mycat-Server,d3012dc13062a8c69cc3737747fba09911926c39,97702,8511
NanoHttpd/nanohttpd,fd80618e93d17f8f05e11006eaa048a22213714d,7534,3641
naver/pinpoint,2a37d1a7355ce7be5b17921dae5329be913d3d62,268392,52832
Netflix/curator,7fa8c085f45977be1db980731f4faf580925db08,1196,924
netty/netty,59973e93dd7da715eee709788573e3515cc50238,257035,84974
nhaarman/ListViewAnimations,23617960178fb5af3099c07996569cc305a40945,6086,1262
ninjaframework/ninja,c43fe99e97a64e63b7c860e572bb172f24ff56c1,34105,15137
NLPchina/elasticsearch-sql,5d370f15606da940473166c625b85ead391fc8b2,17879,4600
nutzam/nutz,e809240f00132c8797525b2f82b0cd9e69627b2c,92708,17165
oldmanpushcart/greys-anatomy,e80c55264520c4d2139e8ae6fc2866b447b6d077,9700,49
OpenFeign/feign,02d97371fe3a84bfd3222e18b94d791c5841170e,16393,7981
openhab/openhab1-addons,1b743a6de56adab2805eaee80a21740708f21fbd,370597,14726
openzipkin/zipkin,b3f8ad033e5240571333156cd4842e6633955081,33888,11121
oracle/opengrok,fd2e8feba888a0b3c6938be7544aca3502695940,68447,21653
orbit/orbit,c4904af2f3745fea93871493edd7e09348e77768,22439,6532
orientechnologies/orientdb,9d5950a6a0ae0018af44d707ab1b96927c1d23fe,483710,142585
oryxproject/oryx,72ae4bb3cc49d92b77e76d8a30fca8b6549b8865,20161,5743
pardom-zz/ActiveAndroid,08c6335cd7324c6e72da536b0c6fffa5a798f6a2,3436,884
pedrovgs/Algorithms,9ae21a5c070c9a97e05ef56b2d1f6d764b609f9e,6549,3671
prontera/spring-cloud-rest-tcc,ce2d76857834fc9fc624cbf4caf363110e5eb022,5795,289
Prototik/HoloEverywhere,b870abb5ab009a5a6dbab3fb855ec2854e35e125,53959,
qos-ch/logback,4dd08e68321548cd85251ec389f5a832505e1268,57666,21062
quartz-scheduler/quartz,9f9e400733f51f7cb658e3319fc2c140ab8af938,46234,9472
querydsl/querydsl,2bf234caf78549813a1e0f44d9c30ecc5ef734e3,109804,37317
raphw/byte-buddy,951fec087052825f3f509640bf93e320b874e46c,147965,83232
rest-assured/rest-assured,bbb40a08d4b659a841a61c28619cf6063c536cc5,36369,21827
roboguice/roboguice,d96250c41149e13a159d26a532365c3f7034c07e,61221,31991
ronmamo/reflections,94f9d5a3de9b1e268280fe974a60147f575929d7,4328,1188
scribejava/scribejava,0df58e1ad282c1d54c048f75cea23013e87f9d6e,12155,1506
skavanagh/KeyBox,7dc05ad6ecb73b42e61a59c406b1d320182c99a5,6209,
sohutv/cachecloud,12123e718dd18373d08cecaca961648927deefbd,58657,9631
spotify/helios,aebf68dcbdf9d3850478e8bddd2c478fa5fa282a,46491,18460
spring-cloud/spring-cloud-netflix,ace1ef7ebec4f005335415b9548246690bda17bb,34695,18054
spring-projects/spring-boot,f99df9858811729b82cf95783a65ec7954a961f2,262749,135007
spring-projects/spring-data-examples,c44d0fc911790bea174457326618731ef5d11e4c,81265,5476
spring-projects/spring-mvc-showcase,b9e18ad9e508409324b8afa9d359cfe05cd8442e,2268,944
spring-projects/spring-petclinic,60105d5d9a8b64d29927b98cd06d6d811fd4bb52,1418,672
square/dagger,572cdd2fe97fc3c148fb3d8e1b2ce7beb4dcbcde,8893,4494
square/javapoet,dfb5bc6c4e0c33f0d40d02c9702089da8a848d2f,8685,5325
square/keywhiz,bdaa147a069e09c6dab988fc7fbcad8d7151c621,19411,8142
square/moshi,2cb81857acea79724122bad621c5e43d5c2a3282,14245,8189
square/okhttp,de4acc58bbe8d20853502b67c5d1dc8ea26c0fef,59886,33788
square/otto,2a67589abd91879cf23a8c96542b59349485ec3d,1736,945
square/retrofit,ae28c3d5f6fe54f6ca409cdf82106efb47609f8f,20341,11869
stephanenicolas/robospice,8bffde88b3534a961a13cab72a8f07a755f0a0fe,15411,4277
thinkaurelius/titan,ee226e52415b8bf43b700afac75fa5b9767993a5,74510,18932
togglz/togglz,01f4e65d3dadae19932c22d3436677bc90a32539,19263,7472
TooTallNate/Java-WebSocket,fa3909c391195178ccf5a92d4ac342a30ae247c8,11620,5945
Trinea/android-common,43ebcee553a970922afd0d822959f99dba84b8f4,6614,
twitter/distributedlog,8e619cd735093e45eef741e5be3c36dbc0598eba,64288,21278
undertow-io/undertow,9f140e3c9f7c89b2afb884e35114733576457127,137336,29316
weibocom/motan,092aabca33108cbe6970776dd506b44681ae8e32,35712,6169
wildfly/wildfly,b19048b72669fc0e96665b1b125dc1fda21f5993,516133,149129
wro4j/wro4j,185ab607f1d649ca38b4a772831ee754cd4649fb,40285,20098
wumpz/jhotdraw,ce37253635cf47c00ea9d2f68d523e3e87a23dbd,144744,197
xetorthio/jedis,d1fb17ce3021f8bac135aef3fd306d62c877c13c,28850,9176
yasserg/crawler4j,7f21f9134057b90672cc2c3bd9101b374dce2a97,5038,184
zhangkaitao/es,0c6b3cbb8ef26f29b32d164efb0d9d97dd7e497f,25195,995
zxing/zxing,a010db7fe20287a4b79382688001be7d3bc2fc27,43625,8045
