#Project,SHA,module,odtest,expectedPolluters,expectedCleaners
https://github.com/wildfly/wildfly,b19048b72669fc0e96665b1b125dc1fda21f5993,naming,org.jboss.as.naming.WritableServiceBasedNamingStoreTestCase.testPermissions,org.jboss.as.naming.WritableServiceBasedNamingStoreTestCase.testBindNested|org.jboss.as.naming.WritableServiceBasedNamingStoreTestCase.testBind|org.jboss.as.naming.subsystem.NamingSubsystemTestCase.testSubsystem|org.jboss.as.naming.subsystem.NamingSubsystemTestCase.testRejectionsEAP7|org.jboss.as.naming.subsystem.NamingSubsystemTestCase.testRejectionsEAP6|org.jboss.as.naming.subsystem.NamingSubsystemTestCase.testCompositeBindingUpdate|org.jboss.as.naming.subsystem.NamingSubsystemTestCase.testOnlyExternalContextAllowsCache|org.jboss.as.naming.subsystem.NamingSubsystemTestCase.testCompositeBindingOps|org.jboss.as.naming.ServiceBasedNamingStoreTestCase.testStoredContext|org.jboss.as.naming.ServiceBasedNamingStoreTestCase.testLookupBindingUsingNestedContext|org.jboss.as.naming.ServiceBasedNamingStoreTestCase.testListBindings|org.jboss.as.naming.ServiceBasedNamingStoreTestCase.testLookupBinding|org.jboss.as.naming.ObjectFactoryTestCase.testBindAndRetrieveObjectFactoryFromNamingContext|org.jboss.as.naming.ObjectFactoryTestCase.testBindAndRetrieveObjectFactoryFromInitialContext|org.jboss.as.naming.NamingEventCoordinatorTestCase.testFireOneLevelEvent|org.jboss.as.naming.NamingEventCoordinatorTestCase.testFireAllEvent|org.jboss.as.naming.NamingEventCoordinatorTestCase.testFireMultiLevelEvent|org.jboss.as.naming.NamingEventCoordinatorTestCase.testFireObjectEvent|org.jboss.as.naming.NamingEventCoordinatorTestCase.testFireSubTreeEvent|org.jboss.as.naming.NamingContextTestCase.testLookupEmptyName|org.jboss.as.naming.NamingContextTestCase.testUnbind|org.jboss.as.naming.NamingContextTestCase.testLookupContextLink|org.jboss.as.naming.NamingContextTestCase.testRebind|org.jboss.as.naming.NamingContextTestCase.testLookupWithContinuation|org.jboss.as.naming.NamingContextTestCase.testLookup|org.jboss.as.naming.NamingContextTestCase.testBindReferenceable|org.jboss.as.naming.NamingContextTestCase.testListWithContinuation|org.jboss.as.naming.NamingContextTestCase.testListBindingsWithContinuation|org.jboss.as.naming.NamingContextTestCase.testLookupLink|org.jboss.as.naming.NamingContextTestCase.testLookupNameNotFound|org.jboss.as.naming.NamingContextTestCase.testListNameNotFound|org.jboss.as.naming.NamingContextTestCase.testList|org.jboss.as.naming.NamingContextTestCase.testBind|org.jboss.as.naming.NamingContextTestCase.testListBindings|org.jboss.as.naming.NamingContextTestCase.testLookupWitResolveResult|org.jboss.as.naming.NamingContextTestCase.testListBindingsNameNotFound|org.jboss.as.naming.NamingContextTestCase.testCreateSubcontext|org.jboss.as.naming.NamingContextTestCase.testLookupReference|org.jboss.as.naming.NamingContextTestCase.testRebindReferenceable|org.jboss.as.naming.InitialContextTestCase.testRegisterURLSchemeHandler|org.jboss.as.naming.InitialContextFactoryTestCase.testJavaContext|org.jboss.as.naming.InitialContextFactoryTestCase.testInitialFactory,
https://github.com/ctco/cukes,b483e1a8f261b80a66291a42fc455256b0b5059c,cukes-http,lv.ctco.cukes.http.facade.HttpAssertionFacadeImplTest.shouldReturnBodyWhenEnabledAndNoMax,lv.ctco.cukes.http.facade.HttpAssertionFacadeImplTest.shouldNotReturnBodyWhenEnabledButLongerThanMaxSize,lv.ctco.cukes.http.facade.HttpAssertionFacadeImplTest.shouldNotReturnBodyWhenEnabledButContentTypeOctet|lv.ctco.cukes.http.facade.HttpAssertionFacadeImplTest.shouldReturnBodyWhenEnabledWithMax|lv.ctco.cukes.http.facade.HttpAssertionFacadeImplTest.shouldNotReturnBodyWhenDisabled
https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,lib,com.github.kevinsawicki.http.HttpRequestTest.postWithVaragsQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,com.github.kevinsawicki.http.HttpRequestTest.nullConnectionFactory
https://github.com/ktuukkan/marine-api,af0003847db9ba822f67d4f1dceb8de3fe63250a,,net.sf.marineapi.ais.parser.AISMessageFactoryTest.testCreateWithTwo,net.sf.marineapi.nmea.parser.SentenceFactoryTest.testRegisterParserWithAlternativeBeginChar,net.sf.marineapi.nmea.parser.SentenceFactoryTest.testCreateParserWithNull|net.sf.marineapi.nmea.parser.SentenceFactoryTest.testCreateEmptyCustomParser|net.sf.marineapi.nmea.parser.SentenceFactoryTest.testCreateParserWithUnregistered|net.sf.marineapi.nmea.parser.SentenceFactoryTest.testRegisterInvalidParser|net.sf.marineapi.nmea.parser.SentenceFactoryTest.testUnregisterParser|net.sf.marineapi.nmea.parser.SentenceFactoryTest.testListParsers|net.sf.marineapi.nmea.parser.SentenceFactoryTest.testHasParser|net.sf.marineapi.nmea.parser.SentenceFactoryTest.testCreateParser|net.sf.marineapi.nmea.parser.SentenceFactoryTest.testCreateEmptyParserWithSentenceId|net.sf.marineapi.nmea.parser.SentenceFactoryTest.testSupportedTypesRegistered|net.sf.marineapi.nmea.parser.SentenceFactoryTest.testCreateCustomParser|net.sf.marineapi.nmea.parser.SentenceFactoryTest.testCreateEmptyParserWithSentenceIdStr|net.sf.marineapi.nmea.parser.SentenceFactoryTest.testCreateParserWithRandom|net.sf.marineapi.nmea.parser.SentenceFactoryTest.testGetInstance|net.sf.marineapi.nmea.parser.SentenceFactoryTest.testCreateParserWithEmptyString
https://github.com/ktuukkan/marine-api,af0003847db9ba822f67d4f1dceb8de3fe63250a,,net.sf.marineapi.ais.event.AbstractAISMessageListenerTest.testSequenceListenerWithIncorrectOrder,net.sf.marineapi.nmea.parser.SentenceFactoryTest.testRegisterParserWithAlternativeBeginChar,net.sf.marineapi.nmea.parser.SentenceFactoryTest.testUnregisterParser|net.sf.marineapi.nmea.parser.SentenceFactoryTest.testCreateParserWithNull|net.sf.marineapi.nmea.parser.SentenceFactoryTest.testRegisterInvalidParser|net.sf.marineapi.nmea.parser.SentenceFactoryTest.testHasParser|net.sf.marineapi.nmea.parser.SentenceFactoryTest.testCreateParserWithUnregistered|net.sf.marineapi.nmea.parser.SentenceFactoryTest.testCreateParserWithEmptyString|net.sf.marineapi.nmea.parser.SentenceFactoryTest.testCreateParser|net.sf.marineapi.nmea.parser.SentenceFactoryTest.testListParsers|net.sf.marineapi.nmea.parser.SentenceFactoryTest.testCreateEmptyParserWithSentenceId|net.sf.marineapi.nmea.parser.SentenceFactoryTest.testSupportedTypesRegistered|net.sf.marineapi.nmea.parser.SentenceFactoryTest.testCreateCustomParser|net.sf.marineapi.nmea.parser.SentenceFactoryTest.testCreateEmptyParserWithSentenceIdStr|net.sf.marineapi.nmea.parser.SentenceFactoryTest.testCreateEmptyCustomParser|net.sf.marineapi.nmea.parser.SentenceFactoryTest.testCreateParserWithRandom|net.sf.marineapi.nmea.parser.SentenceFactoryTest.testGetInstance
https://github.com/elasticjob/elastic-job-lite,b022898ef1b8c984e17efb2a422ee45f6b13e46e,elastic-job-lite-core,io.elasticjob.lite.internal.instance.ShutdownListenerManagerTest.assertIsShutdownAlready,io.elasticjob.lite.api.JobSchedulerTest.assertInit,io.elasticjob.lite.internal.election.LeaderServiceTest.assertIsLeaderUntilBlockWithLeader|io.elasticjob.lite.internal.instance.ShutdownListenerManagerTest.assertUpdateLocalInstancePath|io.elasticjob.lite.internal.failover.FailoverServiceTest.assertGetLocalFailoverItems|io.elasticjob.lite.internal.instance.ShutdownListenerManagerTest.assertIsNotLocalInstancePath|io.elasticjob.lite.internal.instance.ShutdownListenerManagerTest.assertRemoveLocalInstancePathForPausedJob|io.elasticjob.lite.internal.sharding.ShardingServiceTest.assertGetShardingItemsWithEnabledServer|io.elasticjob.lite.internal.config.RescheduleListenerManagerTest.assertCronSettingChangedJobListenerWhenIsCronPathAndUpdateAndFindJob|io.elasticjob.lite.internal.election.ElectionListenerManagerTest.assertLeaderElectionWhenRemoveLeaderInstancePathWithAvailableServer|io.elasticjob.lite.internal.election.ElectionListenerManagerTest.assertLeaderElectionWhenServerEnableWithoutLeader|io.elasticjob.lite.internal.election.LeaderServiceTest.assertIsLeader|io.elasticjob.lite.internal.election.LeaderServiceTest.assertIsLeaderUntilBlockWhenHasLeader|io.elasticjob.lite.internal.failover.FailoverListenerManagerTest.assertJobCrashedJobListenerWhenIsOtherInstanceCrashed|io.elasticjob.lite.internal.failover.FailoverListenerManagerTest.assertJobCrashedJobListenerWhenIsOtherFailoverInstanceCrashed|io.elasticjob.lite.internal.failover.FailoverListenerManagerTest.assertJobCrashedJobListenerWhenIsSameInstance|io.elasticjob.lite.internal.failover.FailoverServiceTest.assertFailoverLeaderExecutionCallbackIfNotNecessary|io.elasticjob.lite.internal.failover.FailoverServiceTest.assertFailoverLeaderExecutionCallbackIfNecessary|io.elasticjob.lite.internal.failover.FailoverServiceTest.assertGetFailoverItems|io.elasticjob.lite.internal.instance.TriggerListenerManagerTest.assertTriggerWhenJobIsRunning|io.elasticjob.lite.internal.instance.TriggerListenerManagerTest.assertTriggerWhenJobIsNotRunning|io.elasticjob.lite.internal.listener.RegistryCenterConnectionStateListenerTest.assertConnectionLostListenerWhenConnectionStateIsLost|io.elasticjob.lite.internal.listener.RegistryCenterConnectionStateListenerTest.assertConnectionLostListenerWhenConnectionStateIsOther|io.elasticjob.lite.internal.listener.RegistryCenterConnectionStateListenerTest.assertConnectionLostListenerWhenConnectionStateIsReconnected|io.elasticjob.lite.internal.listener.RegistryCenterConnectionStateListenerTest.assertConnectionLostListenerWhenConnectionStateIsLostButIsShutdown|io.elasticjob.lite.internal.monitor.MonitorServiceDisableTest.assertMonitorWithDumpCommand|io.elasticjob.lite.internal.monitor.MonitorServiceEnableTest.assertMonitorWithCommand|io.elasticjob.lite.internal.schedule.SchedulerFacadeTest.assertShutdownInstanceIfLeaderAndReconcileServiceIsRunning|io.elasticjob.lite.internal.schedule.SchedulerFacadeTest.assertShutdownInstanceIfNotLeaderAndReconcileServiceIsNotRunning|io.elasticjob.lite.internal.server.ServerServiceTest.assertPersistOnlineForInstanceShutdown|io.elasticjob.lite.internal.server.ServerServiceTest.assertPersistOnlineForDisabledServer|io.elasticjob.lite.internal.server.ServerServiceTest.assertPersistOnlineForEnabledServer|io.elasticjob.lite.internal.sharding.ShardingListenerManagerTest.assertListenServersChangedJobListenerWhenIsServerChange|io.elasticjob.lite.internal.sharding.ShardingListenerManagerTest.assertListenServersChangedJobListenerWhenIsInstanceChange|io.elasticjob.lite.internal.sharding.ShardingServiceTest.assertGetLocalShardingItemsWithEnabledServer|io.elasticjob.lite.internal.sharding.ShardingServiceTest.assertGetLocalShardingItemsWithDisabledServer
