#Project,SHA,module,expectedFlakyTests
https://github.com/ktuukkan/marine-api,af0003847db9ba822f67d4f1dceb8de3fe63250a,,12
https://github.com/sonatype-nexus-community/nexus-repository-helm,60a9e8de0d97bfa4e3f7ee6bb87d518e398f03f2,,0
https://github.com/spring-projects/spring-data-envers,5637994be37747e82b2d6d5b34555e2bee791fe6,,0
https://github.com/spring-projects/spring-ws,e8d89c9eb0929dda304174729c9c69fb29f448eb,spring-ws-security,0
https://github.com/tbsalling/aismessages,7b0c4c708b6bb9a6da3d5737bcad1857ade8a931,,2
https://github.com/tools4j/unix4j,367da7d262e682a08577cdf19ebbbdd8a46870fe,unix4j-core/unix4j-command,1
https://github.com/Activiti/Activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,activiti-spring-boot-starter,19
https://github.com/undertow-io/undertow,d0efffad5d2034bb07525cac9b299dac72c3045d,websockets-jsr,1
https://github.com/pholser/junit-quickcheck,9361b6dae25b193782604d071754eb7fc566390a,guava,1
